[22:27:56] === 5min BTC 单笔交易  [DRY-RUN] ===
[22:27:56] 入场过滤: 窗口BTC波动<$25 且 冷门方ask<0.30（开窗后105-135s）｜止盈 +100%｜未止盈拿到结算
[22:27:56] BTC喂价: Chainlink on Polygon（https://polygon-bor-rpc.publicnode.com）｜日志: data\logs\trade5m_20260910_222756.log
[22:27:56] [窗口 1] 起点 1789050300（本地 22:27:56），开始持续监测 …
[22:27:58] 市场: Bitcoin Up or Down - September 10, 10:25AM-10:30AM ET  (minSize=5)
[22:28:01] t+  178s  BTC=77259.353 range=  0.000  Up  0.940/ 0.950  Down  0.050/ 0.060
[22:28:04] t+  183s  BTC=77264.181 range=  4.829  Up  0.950/ 0.960  Down  0.040/ 0.050
[22:28:07] t+  186s  BTC=77264.181 range=  4.829  Up  0.970/ 0.980  Down  0.020/ 0.030
[22:28:11] t+  190s  BTC=77264.181 range=  4.829  Up  0.940/ 0.980  Down  0.020/ 0.060
[22:28:14] t+  193s  BTC=77264.181 range=  4.829  Up  0.980/ 0.990  Down  0.010/ 0.020
[22:28:17] t+  196s  BTC=77264.181 range=  4.829  Up  0.980/ 0.990  Down  0.010/ 0.020
[22:28:21] t+  199s  BTC=77264.181 range=  4.829  Up  0.980/ 0.990  Down  0.010/ 0.020
[22:28:24] t+  203s  BTC=77264.181 range=  4.829  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:27] t+  207s  BTC=77264.181 range=  4.829  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:30] t+  210s  BTC=77264.181 range=  4.829  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:33] t+  213s  BTC=77264.181 range=  4.829  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:37] t+  216s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:40] t+  220s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:46] t+  223s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:49] t+  228s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:51] t+  231s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:55] t+  234s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:28:59] t+  238s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:02] t+  242s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:06] t+  245s  BTC=77332.810 range= 73.457  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:10] t+  248s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:13] t+  252s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:17] t+  255s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:20] t+  259s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:24] t+  262s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:28] t+  266s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:31] t+  270s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:34] t+  274s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:38] t+  277s  BTC=77343.766 range= 84.413  Up  0.990/   n/a  Down    n/a/ 0.010
[22:29:41] 本窗口未入场，进入下一个窗口（1/1）。
[22:29:41] 1 个窗口均未满足入场条件，未交易。
