stop_loss_price,entry_until,max_vol,btc_tr_n,btc_tr_win%,btc_tr_sl%,btc_tr_per,btc_va_n,btc_va_win%,btc_va_sl%,btc_va_per,eth_tr_n,eth_tr_win%,eth_tr_sl%,eth_tr_per,eth_va_n,eth_va_win%,eth_va_sl%,eth_va_per
0.05,100,20,4678,20.3,78.9,-0.3341,1984,19.2,80.3,-0.408,3746,21.6,77.8,-0.2237,1602,21.6,77.7,-0.2167
0.05,100,25,4678,20.3,78.9,-0.3341,1984,19.2,80.3,-0.408,3746,21.6,77.8,-0.2237,1602,21.6,77.7,-0.2167
0.05,100,30,4678,20.3,78.9,-0.3341,1984,19.2,80.3,-0.408,3746,21.6,77.8,-0.2237,1602,21.6,77.7,-0.2167
0.05,135,20,6436,20.8,78.3,-0.319,2722,19.8,79.6,-0.3743,5095,22.0,77.4,-0.2078,2198,21.4,77.9,-0.2584
0.05,135,25,6436,20.8,78.3,-0.319,2722,19.8,79.6,-0.3743,5095,22.0,77.4,-0.2078,2198,21.4,77.9,-0.2584
0.05,135,30,6436,20.8,78.3,-0.319,2722,19.8,79.6,-0.3743,5095,22.0,77.4,-0.2078,2198,21.4,77.9,-0.2584
0.05,180,20,7686,20.8,78.2,-0.3244,3201,20.0,79.4,-0.3682,6047,21.7,77.6,-0.2352,2601,21.1,78.2,-0.2803
0.05,180,25,7686,20.8,78.2,-0.3244,3201,20.0,79.4,-0.3682,6047,21.7,77.6,-0.2352,2601,21.1,78.2,-0.2803
0.05,180,30,7686,20.8,78.2,-0.3244,3201,20.0,79.4,-0.3682,6047,21.7,77.6,-0.2352,2601,21.1,78.2,-0.2803
0.10,100,20,4678,17.1,82.6,-0.2791,1984,15.7,84.2,-0.3877,3746,17.6,82.2,-0.2519,1602,18.4,81.4,-0.1931
0.10,100,25,4678,17.1,82.6,-0.2791,1984,15.7,84.2,-0.3877,3746,17.6,82.2,-0.2519,1602,18.4,81.4,-0.1931
0.10,100,30,4678,17.1,82.6,-0.2791,1984,15.7,84.2,-0.3877,3746,17.6,82.2,-0.2519,1602,18.4,81.4,-0.1931
0.10,135,20,6436,17.5,82.3,-0.2813,2722,16.2,83.7,-0.3651,5095,18.1,81.8,-0.2395,2198,18.2,81.6,-0.2324
0.10,135,25,6436,17.5,82.3,-0.2813,2722,16.2,83.7,-0.3651,5095,18.1,81.8,-0.2395,2198,18.2,81.6,-0.2324
0.10,135,30,6436,17.5,82.3,-0.2813,2722,16.2,83.7,-0.3651,5095,18.1,81.8,-0.2395,2198,18.2,81.6,-0.2324
0.10,180,20,7686,17.6,82.1,-0.2791,3201,16.7,83.2,-0.3429,6047,17.9,82.0,-0.2621,2601,17.5,82.4,-0.2889
0.10,180,25,7686,17.6,82.1,-0.2791,3201,16.7,83.2,-0.3429,6047,17.9,82.0,-0.2621,2601,17.5,82.4,-0.2889
0.10,180,30,7686,17.6,82.1,-0.2791,3201,16.7,83.2,-0.3429,6047,17.9,82.0,-0.2621,2601,17.5,82.4,-0.2889
0.15,100,20,4678,12.7,87.2,-0.2852,1984,11.4,88.5,-0.3816,3746,13.5,86.5,-0.252,1602,13.6,86.3,-0.2474
0.15,100,25,4678,12.7,87.2,-0.2852,1984,11.4,88.5,-0.3816,3746,13.5,86.5,-0.252,1602,13.6,86.3,-0.2474
0.15,100,30,4678,12.7,87.2,-0.2852,1984,11.4,88.5,-0.3816,3746,13.5,86.5,-0.252,1602,13.6,86.3,-0.2474
0.15,135,20,6436,13.0,86.9,-0.2927,2722,12.5,87.4,-0.3333,5095,13.8,86.1,-0.2511,2198,13.6,86.4,-0.2739
0.15,135,25,6436,13.0,86.9,-0.2927,2722,12.5,87.4,-0.3333,5095,13.8,86.1,-0.2511,2198,13.6,86.4,-0.2739
0.15,135,30,6436,13.0,86.9,-0.2927,2722,12.5,87.4,-0.3333,5095,13.8,86.1,-0.2511,2198,13.6,86.4,-0.2739
0.15,180,20,7686,13.1,86.8,-0.2969,3201,12.7,87.2,-0.3279,6047,13.6,86.4,-0.2759,2601,12.9,87.0,-0.3227
0.15,180,25,7686,13.1,86.8,-0.2969,3201,12.7,87.2,-0.3279,6047,13.6,86.4,-0.2759,2601,12.9,87.0,-0.3227
0.15,180,30,7686,13.1,86.8,-0.2969,3201,12.7,87.2,-0.3279,6047,13.6,86.4,-0.2759,2601,12.9,87.0,-0.3227
