网格 27 组 × 2 币，workers=8

排名(验证段) stop_loss_price  entry_until  max_vol     btc_tr_per   btc_va_per  eth_tr_per   eth_va_per
1    0.10        100         20            -0.2791   -0.3877    -0.2519   -0.1931
2    0.10        100         25            -0.2791   -0.3877    -0.2519   -0.1931
3    0.10        100         30            -0.2791   -0.3877    -0.2519   -0.1931
4    0.10        135         20            -0.2813   -0.3651    -0.2395   -0.2324
5    0.10        135         25            -0.2813   -0.3651    -0.2395   -0.2324
6    0.10        135         30            -0.2813   -0.3651    -0.2395   -0.2324
7    0.15        135         20            -0.2927   -0.3333    -0.2511   -0.2739
8    0.15        135         25            -0.2927   -0.3333    -0.2511   -0.2739
9    0.15        135         30            -0.2927   -0.3333    -0.2511   -0.2739
10   0.05        100         20            -0.3341   -0.4080    -0.2237   -0.2167
11   0.05        100         25            -0.3341   -0.4080    -0.2237   -0.2167
12   0.05        100         30            -0.3341   -0.4080    -0.2237   -0.2167
13   0.15        100         20            -0.2852   -0.3816    -0.2520   -0.2474
14   0.15        100         25            -0.2852   -0.3816    -0.2520   -0.2474
15   0.15        100         30            -0.2852   -0.3816    -0.2520   -0.2474

共 27 组 → runtime/grid_runs.csv（排名只看验证段 _va_per）
