loading btc ...
loading eth ...

参数组                  币        入场     止盈率         总PnL        手续费        每笔
baseline tp=0.65     btc    9651   31.4%     -4495.65    1417.87   -0.4658
baseline tp=0.65     eth    7754   33.9%     -2194.41    1160.45   -0.2830
tp=0.45              btc    9651   45.8%     -4204.28    1675.80   -0.4356
tp=0.45              eth    7754   46.7%     -2600.72    1357.53   -0.3354
tp=0.55              btc    9651   36.7%     -4621.36    1532.90   -0.4788
tp=0.55              eth    7754   38.8%     -2394.38    1252.19   -0.3088
tp=0.75              btc    9651   27.5%     -4489.22    1303.70   -0.4652
tp=0.75              eth    7754   29.8%     -2194.61    1063.75   -0.2830
entry 0.15-0.25      btc    7658   26.0%     -3955.07    1164.44   -0.5165
entry 0.15-0.25      eth    6242   28.5%     -1939.05     967.19   -0.3106
entry 0.20-0.30      btc    9158   32.5%     -4230.09    1340.46   -0.4619
entry 0.20-0.30      eth    7293   35.3%     -1965.29    1089.25   -0.2695
window 60-180        btc   11593   32.0%     -5592.21    1686.28   -0.4824
window 60-180        eth    9376   34.5%     -2795.65    1390.68   -0.2982
window 70-100        btc    7279   30.6%     -3471.98    1073.05   -0.4770
window 70-100        eth    5888   33.5%     -1639.60     887.08   -0.2785
